student_id,subject,hours_studied_per_day,days_before_exam,revision_count,topic_difficulty,mock_test_score,attendance_percentage,predicted_performance
1,Biology,5.7,34,2,Hard,39,85,Poor
2,Computer Science,2.3,28,0,Easy,94,87,Average
3,Chemistry,3.5,31,3,Easy,51,61,Average
4,Computer Science,3.6,8,1,Easy,79,65,Average
5,Computer Science,5.9,39,1,Medium,43,68,Poor
6,Physics,0.9,26,4,Easy,93,92,Average
7,Chemistry,2.2,34,2,Hard,76,84,Average
8,Chemistry,1.6,3,1,Easy,58,72,Average
9,Chemistry,2.0,12,0,Hard,65,68,Average
10,Computer Science,3.2,1,4,Medium,81,72,Average
11,Biology,2.5,44,3,Hard,36,90,Poor
12,Chemistry,2.7,5,4,Hard,58,70,Average
13,Computer Science,5.1,30,3,Easy,40,63,Poor
14,Physics,5.6,30,4,Easy,62,93,Average
15,Biology,0.9,17,4,Hard,35,97,Poor
16,Physics,1.6,23,4,Easy,61,63,Average
17,Biology,4.2,15,3,Medium,80,97,Good
18,Computer Science,2.5,37,3,Medium,87,78,Average
19,Math,1.9,21,4,Easy,55,65,Average
20,Biology,2.1,14,1,Medium,75,93,Average
21,Physics,2.3,2,2,Easy,58,77,Average
22,Computer Science,5.2,11,2,Hard,33,72,Poor
23,Biology,1.3,39,2,Hard,42,82,Poor
24,Math,4.4,38,3,Medium,68,78,Average
25,Math,3.5,34,3,Easy,44,70,Poor
26,Chemistry,2.1,38,1,Easy,58,60,Average
27,Chemistry,2.8,34,2,Medium,58,83,Average
28,Physics,1.9,18,2,Hard,61,66,Average
29,Biology,3.9,30,4,Medium,31,84,Poor
30,Biology,0.9,15,3,Hard,76,80,Average
31,Chemistry,0.5,27,2,Easy,51,74,Average
32,Biology,4.0,34,1,Hard,56,60,Average
33,Biology,1.6,38,1,Medium,96,71,Average
34,Math,0.9,33,2,Easy,85,66,Average
35,Chemistry,2.7,24,3,Medium,50,74,Average
36,Computer Science,0.8,15,1,Medium,76,80,Average
37,Chemistry,5.4,30,4,Hard,88,78,Good
38,Computer Science,0.7,42,1,Medium,35,88,Poor
